,OP_CPL,USD,2014,2013,Net Sales,Translation,,Contribution Income,,Net Sales,,,,,,,
INTERNATIONAL 1 BILLION $ CHALLENGE,,,,,,,,,,,,,,,,,
$$ in millions,FULL YEAR OI REQUIREMENT,,,,FULL YEAR SALES INCENTIVE ($$ over OP),,,,,,,2nd HALF INCENTIVE (LG% over OP),,,,HIDE,
,Prior Full,Prior YTD,YTD,,Full Year,YTD,YTD,% to,Meets OI,YTD Incremental,,  % Local Growth,,LCG % pts. ,,AY,AZ
COUNTRY,Year OI,OI,OI,,OP,OP,Actuals,OP,Requirement, $$ over OP,,OP,Actual,over OP,,Lgl Enty Super Region Name,Lgl Enty SubTotal Company
South Africa,$2.40 ,$1.50 ,$1.20 ,,$7.80 ,$5.20 ,$4.50 ,87.20%,NO,($0.70),,16.30%,-15.90%,-32.10%,,USE AW,South Africa
Argentina Uruguay,$2.40 ,$1.70 ,$1.40 ,,$8.80 ,$5.80 ,$5.20 ,88.50%,NO,($0.70),,15.10%,18.50%,3.30%,,Argentina Uruguay,#N/A
Saudi Arabia,$4.10 ,$2.30 ,$2.00 ,,$12.80 ,$7.60 ,$6.90 ,90.90%,NO,($0.70),,-23.30%,-69.70%,-46.40%,,USE AW,Saudi Arabia
3M Africa Reg,$0.90 ,$0.60 ,$0.40 ,,$6.10 ,$3.90 ,$3.00 ,78.60%,NO,($0.80),,#DIV/0!,#DIV/0!,0.00%,,USE AW,#N/A
Italy,$8.10 ,$6.10 ,$5.60 ,,$43.60 ,$29.80 ,$29.00 ,97.10%,NO,($0.90),,1.30%,-0.10%,-1.40%,,Italy,Italy
Gulf,$3.20 ,$1.70 ,$1.80 ,,$12.50 ,$8.00 ,$7.10 ,89.10%,YES,($0.90),,29.00%,-15.10%,-44.10%,,USE AW,Gulf
Alpine,$5.50 ,$3.50 ,$3.50 ,,$30.50 ,$20.10 ,$18.90 ,93.90%,YES,($1.20),,10.10%,-0.80%,-10.90%,,Alpine,#N/A
ANZ,$16.80 ,$11.20 ,$11.10 ,,$49.50 ,$33.00 ,$31.50 ,95.50%,NO,($1.50),,1.90%,-1.10%,-3.10%,,ANZ,#N/A
Nordic,$4.00 ,$2.70 ,$2.20 ,,$34.40 ,$22.30 ,$20.70 ,92.90%,NO,($1.60),,8.80%,-9.20%,-18.00%,,Nordic,#N/A
France,$5.60 ,$3.70 ,$4.20 ,,$45.30 ,$29.90 ,$28.00 ,93.50%,YES,($1.90),,4.50%,-12.80%,-17.20%,,France,France
Iberia,$3.50 ,$1.90 ,$2.20 ,,$34.60 ,$23.30 ,$21.20 ,91.20%,YES,($2.00),,4.10%,-4.60%,-8.70%,,Iberia,#N/A
Canada,$12.20 ,$9.10 ,($0.10),,$58.40 ,$37.70 ,$34.80 ,92.40%,NO,($2.90),,13.10%,2.60%,-10.40%,,Canada,#N/A
Venezuela,$0.40 ,$1.10 ,$1.00 ,,$7.80 ,$5.90 ,$2.10 ,36.50%,NO,($3.70),,46.10%,-93.20%,-139.30%,,Venezuela,Venezuela
Japan,$35.50 ,$24.20 ,$23.60 ,,$101.90 ,$67.00 ,$62.40 ,93.10%,NO,($4.60),,6.90%,-2.70%,-9.50%,,Japan,Japan
China,$29.60 ,$17.40 ,$21.80 ,,$99.70 ,$67.00 ,$61.70 ,92.20%,YES,($5.20),,64.30%,19.20%,-45.10%,,USE AW,China
,,,,,,,,,,,,,,,,,
SUBTOTALS,$244.60 ,$159.00 ,$165.20 ,,"$1,013.10 ",$665.50 ,$638.30 ,95.90%,,($27.20),,,,,,,
