OP_CPL,USD,2013,2014,2013,Net Sales,Translation,Operating Income,Contribution Income,,Net Sales,,,,,,,,
INTERNATIONAL 1 BILLION $ CHALLENGE,,,,,,,,,,,,,,,,,,
$$ in millions,FULL YEAR OI REQUIREMENT,,,,FULL YEAR SALES INCENTIVE ($$ over OP),,,,,,,2nd HALF INCENTIVE (LG% over OP),,,,HIDE,,
,Prior Full,Prior YTD,YTD,,Full Year,YTD,YTD,% to,Meets OI,YTD Incremental,,  % Local Growth,,LCG % pts. ,,AY/BA,AZ/BB,
COUNTRY,Year OI,OI,OI,,OP,OP,Actuals,OP,Requirement, $$ over OP,,OP,Actual,over OP,,Lgl Enty Super Region Name,Lgl Enty SubTotal Company,
Italy,$8.1,$8.1,$7.7,,$43.6,$43.6,$41.7,95.6%,NO,-$1.9,,0.8%,0.5%,-0.3%,,Italy,Italy,
Benelux,$8.6,$8.6,$8.2,,$47.1,$47.1,$45.1,95.9%,NO,-$1.9,,4.7%,2.5%,-2.2%,,Benelux,#N/A,
3M Africa Reg,$0.9,$0.9,$0.3,,$6.1,$6.1,$4.0,65.5%,NO,-$2.1,,,,0.0%,,USE AZ,#N/A,
ANZ,$16.8,$16.8,$17.2,,$49.5,$49.5,$47.0,95.0%,YES,-$2.5,,3.4%,3.6%,0.1%,,ANZ,#N/A,
Nordic,$4.0,$4.0,$4.3,,$34.4,$34.4,$31.6,91.9%,YES,-$2.8,,5.0%,1.0%,-4.0%,,Nordic,#N/A,
Iberia,$3.5,$3.5,$3.2,,$34.6,$34.6,$31.5,91.1%,NO,-$3.1,,3.0%,-0.5%,-3.5%,,Iberia,#N/A,
France,$5.6,$5.6,$7.0,,$45.3,$45.3,$41.5,91.7%,YES,-$3.7,,7.2%,-1.4%,-8.6%,,France,France,
Venezuela,$0.4,$0.4,$2.0,,$7.8,$7.8,$3.3,41.7%,YES,-$4.5,,49.5%,-45.6%,-95.1%,,Venezuela,Venezuela,
Canada,$12.2,$12.2,$3.0,,$58.4,$58.4,$53.9,92.2%,NO,-$4.6,,3.6%,0.9%,-2.7%,,Canada,#N/A,
China,$29.6,$29.6,$32.9,,$99.7,$99.7,$91.9,92.2%,YES,-$7.8,,28.0%,9.8%,-18.2%,,USE AZ,China,
Japan,$35.5,$35.5,$35.2,,$101.9,$101.9,$91.7,90.0%,NO,-$10.2,,9.8%,4.5%,-5.3%,,Japan,Japan,
,,,,,,,,,,,,,,,,,,
SUBTOTALS,$244.7,$244.7,$258.1,,"$1,013.1","$1,013.1",$961.9,94.9%,,-$51.2,,,,,,,,
,,,,,,,,,,,,,,,,,,
proof,$244.2,$244.2,$255.8,,"$1,013.1","$1,013.1",$961.8,94.9%,,,,,,,,,,
delta,$0.4,$0.4,$2.3,,$0.0,$0.0,$0.1,0.0%,,,,,,,,,,
,,"Misc APAC, WE and CEE",,,,,,,,,,,,,,,,
